date,price,earnings,trailing_pe,cape
1962.05,62.99,3.43667,18.328789205830063,19.089367498116655
1962.06,55.63,3.47,16.03170028818444,16.82757124479247
1962.07,56.97,3.49,16.32378223495702,17.141325661322796
1962.08,58.52,3.51,16.672364672364676,17.571262631045535
1962.09,58.0,3.53,16.430594900849858,17.321461147465484
1962.1,56.17,3.57667,15.704551999485556,16.739820967901334
1962.11,60.04,3.62333,16.570392429063872,17.854386489497152
1962.12,62.64,3.67,17.068119891008173,18.585836118439865
1963.01,65.06,3.68333,17.66336440123475,19.259231693254055
1963.02,65.92,3.69667,17.832265254945668,19.469191309671416
1963.03,65.67,3.71,17.70080862533693,19.288064606604838
1963.04,68.76,3.75333,18.319732077914814,20.15007723822699
1963.05,70.14,3.79667,18.474083868231897,20.50758586495262
1963.06,70.11,3.84,18.2578125,20.384149993841003
1963.07,69.07,3.88,17.801546391752577,19.969231885949643
1963.08,70.98,3.92,18.107142857142858,20.472637900527687
1963.09,72.85,3.96,18.396464646464644,20.960360090705116
1963.1,73.03,3.98,18.349246231155778,20.891344595411496
1963.11,72.62,4.0,18.155,20.720399335339714
1963.12,74.17,4.02,18.450248756218908,21.038599376737054
1964.01,76.45,4.07333,18.76842779740409,21.627216196980946
1964.02,77.39,4.12667,18.753619746672257,21.832670826710334
1964.03,78.8,4.18,18.851674641148325,22.167245585982645
1964.04,79.94,4.23,18.8983451536643,22.422192169737183
